Question,Answer
Who found the Murder weapon used to kill Rita?,Frankie Ryan
Where was Rita Wilson's murder weapon hidden?,In a ventilation duct.
Who owns the murder weapon?,Tex Barton
Where was Tex Barton found murdered?,The station Manager's office.
What does the picture found in Tex's room suggest that Anne's real name is?,Gladys
"When Frankie finds out Anne is a brunette, who does he then believe may be Gladys?",Rita
What does Van Martin Confess to?,"Both the murder of Rita Wilson, and Tex Barton"
What happens to Van Martin after Jeff accidentally knocks the gun from his hands? ,He is arrested by police.
Who is the main character?,Chuck Noland
What company doe the main character work for?,FedEx
Who is the main character's girlfriend?,Kelley Frears
Where does Chuck live?,"Memphis, Tennesse"
Where was chuck flying to when his plane crashed?,Malaysia
What ocean did Chuck crash into?,The Pacific Ocean
What does Chuck do with the body of the pilot?,He buries it.
What was drawn on the unopened package?,Angle wings
What was Chuck's only companion on the island?,A Wilson volleyball
How long was Chuck on the island?,Four years
Why doesn't Chuck and Kelly get married?,Chuck is too busy.
How does Chuck end up on an island?,His plane crashes and his life raft washes up on an island.
What are some changes Chuck goes through after four years on the island?,"He becomes thinner, dresses in a loincloth, and is better at making a fire."
Which package does Chuck leave unopened?,A package with a pair of angel wings stenciled on it.
What is Wilson?,A volleyball with a bloody handprint on it.
What does he find out after getting rescued and returning home?,His family thought he was dead and Kelly has married.
Who does Chuch return the angel wing package to?,Bettina Peterson
How does Chuck wound his hand?,He tries to make fire.
What does Kelly give Chuck when he returns to civilization?,Keys.
What washes up on the island that helps Chuck complete the construction of his raft?,A section of a portable toilet seat.
Where do Chuck and Kelly live?,Memphis
Where is Chuck called away to during Christmas?,Malaysia
What is the company that Chuck works for?,FedEx
What does Chuck collect along the shore of the island he has landed on?,Packages
What sports item does Chuck leave a bloody hand print on?,A volleyball
Who is the only friend Chuck talks to on the island?,Wilson
Why can Kelly and Chuck not be together when he returns?,She has a new family.
Where does Chuck go to deliver the last package he saved from the crash?,Texas
What is the symbol on the package and on the back of the woman's truck?,Angel wings
Which of Mrs. Tabitha Twitchit's children become the best at catching rats?,Moppet and Mittens.
What kind of food did the rats put on Tom Kitten?,Dough and butter.
How did Tom escape from the cupboard?,He climbed up the chimney. 
What were the names of the rats that captured Tom?,Mr. Samuel Whiskers and Anna Marie Whiskers. 
Who helped Mrs. Twitchit find Tom when he was lost?,Her cousin Ribby.
Where did Tom become stuck after trying to escape?,In the floorboards of the attic. 
Who is the carpenter that came to help get Tom out of the attic?,John Joiner.
Why was the floor to the attic cut open?,To get Tom out. 
Where do the rats escape to after they are caught?,Farmer Potatoes barn. 
What were the rats planning on doing to Tom?,Making him into a pudding so they could eat him. 
Who are Moppet and Mittens to Tom Kitten?,His sisters.
Why did Mrs. Tabitha Twitchit put her children in the cupboard?,Because they weren't following rules and being punished.
Where did Tom Kittens end up after escaping through the chimney?,The attic.
Who did Tom Kittens meet in the attic?,Samuel Whiskers and Anna Maria.
What did Samuel Whiskers and Anna Maria want to do to Tom Kittens?,They wanted to eat him.
Who rescued Tom Kittens?, John Joiner.
How was Tom Kittens rescued?,Sawing through the floor of the attic.
Where did Samuel Whiskers and Anna Maria escape to?,Farmer Potatoes' barn.
How was Tom Kittens affected by the incident with the rats?,He is now afraid of anything bigger than mice.
How many children does Mrs. Twitchit have?,Three.
What are the names of Tom's sisters?,Moppet and Mittens.
What animals have overun Mrs. Twitchit's house?,Rats.
Where does Mrs. Twitchit place Moppet and Mittens?,In the cupboard.
Where does Tom Kitten hide?,In the floorboard of the attic.
What do the rats plan to do with Tom?,Eat him as pudding.
What ingredients do the rats cover Tom with?,Butter and dough.
Where do Sam Whiskers and Anna Maria escape to?,Farmer Potatoes' barn.
What do Moppet and Mittens become afterwards?,Rat catchers. 
"What kind of a sin do Tom, Mittens and Moppet commit?",Disobedience.
Upon whose arrival does Minna finally tell the truth about her finances?,Her uncle and guardian
What does the delayed letter from the King announce?,The restoration of Tellheim's fortune and vindication of his honor
Why does Minna pretend to be penniless and in dire straits?,So Tellheim will marry her
Who is Minna von Barnhelm's missing lover?,Major von Tellheim
What is Tellheim's last possession of worth?,An expensive betrothal ring
What is the name of Tellheim's servant?,Just
Who left the sealed envelope for Tellheim?,Paul Werner
What does the sealed envelope the landlord finds among Tellheim's possessions contain?,Five hundred thalers
What army was Major von Tellheim dishonourably discharged from?,The Prussian Army
What war precedes the events which take place?,The Seven Years' War
Why did Major von Tellheim leave the Prussian Army?,He was dishonorably discharged
How much money does the marked sealed envelope the landlord finds claim to have?,Five hundred thalers
Who left the money with the Major?,Paul Werner
Why does Tellheim not want to use the money Werner leaves for him?,Because he is not sure if he can repay it
What does Tellheim pawn to pay the landlord off?,His ring
What is the name of Tellheim's lover?,Minna von Barnhelm
Why does Tellheim refuse to engage Minna von Barnhelm at first?,Because he is poor
What is the name of Minna's maid?,Franziska
Why does Tellheim change his mind about not marrying Minna?,he is tricked into believing she is poor like him
"Why does Minna finally relent, and tell Tellheim the truth about her wealth?",Her family arrives
Where did Major von Tellheim find himself waiting for the outcome of his trial?,At a Berlin hotel
What did the landlord find among the Major's possessions in his room?,A sealed envelope containing money
Who left the money for Major Tellheim?,Paul Werner
What does Tellheim pawn to pay his debts?,A ring
Who recognized the ring?,Minna von Barnhelm
What had the ring been originally intended for?,Betrothal
Who helped Minna pretend to be poor?,"Her maid, Franziska"
What arrived that informed Tellheim of his reinstated fortune?,A letter frorm the king
Why did Minna pretend she couldn't marry Tellheim after all?,To punish him for making her suffer
Who else found that they had an attraction to each other?,Paul Werner and Franziska
Which army was Major von Tellheim discharged from?,The Prussian Army
Major Tellheim awaits his trial in what hotel?,Berlin hotel
Paul Werner gives Major Tellheim an envelope containing what?,Five hundred thalers
Major Paul Werner is what to Major Tellheim?,Former sergeant
What does Major Tellheim as his servant to do with his ring?,Pawn it
What sort of ring does Major Tellheim have?,Betrothal ring
Who is Minna von Barnhelm to Major Tellheim?,Fiance
What is the name of Minna von Barnhelm's maid?,Franziska
Who sends the letter that restores Major Tellheim honor?,The King
Why does Minna von Barnhelm pretend to be broke?,To get Major Tellheim to marry her.
Who will kill the children if they rebel ?,Jealous Hera will kill them.
What does the US government want to turn their land into?,A national Park.
If they rebel what will occur to them?,They will be killed.
This tells the modern story of what character?,The story of Zues
Where were they forced to move from?,Channel island ranch.
Who expects them to correctly identify the play modeled around their lives?,Zeus does.
Who were they entertaining?,The Gods entertainment.
Who was noticing that they were not aging?,The neighbors.
Filmore is accompanied by what kind of siblin in his journey?,His half sister Marie
Why do Filmore and Marie-Noel move from their ranch?,neighbors have grown suspicious because they do not age
